id,name,description,address,coords,logo_url,start_partner,status,num_babies,Website,End Date
11,Watertown Food Pantry,"The Watertown Food Pantry offers weekly food distribution for residents experiencing financial stress. Alongside groceries, the pantry provides diapers and personal-care items to help families meet essential needs. Their program relies on strong volunteer engagement and consistent community donations. The pantry�s mission emphasizes dignity, confidentiality, and neighbor-to-neighbor support. Over time, it has become a reliable safety net for Watertown households.",,"{""lat"":42.3661,""lng"":-71.1789}",https://content.civicplus.com/api/assets/e3e0dfb8-75ce-4bfe-8987-27b0ff4ea994?cache=1800,01/29/2025,active,50,https://www.watertown-ma.gov/330/Watertown-Food-Pantry,
12,WeeCare,"WeeCare focuses on supporting families with infants and toddlers by providing diapers, wipes, and early childhood essentials. Their programs help reduce the severe financial burden associated with diaper need, especially for low-income households. WeeCare works with local service agencies to reach families who may not have access to traditional support systems. They emphasize compassion, accessibility, and reducing stigma around requesting help. Their efforts help ensure that every baby has the resources necessary for healthy development.",,"{""lat"":42.4745,""lng"":-71.1037}",http://www.weecareforlittlepeople.com/uploads/9/9/7/4/99741910/published/weecare-alternate-logo-2_1.png?1506009170,01/01/2022,active,15,http://www.weecareforlittlepeople.com/,
13,Woburn Council of Social Concern,"The Council of Social Concern serves Woburn and surrounding communities through its food pantry, early education center, and family-support programs. Their pantry distributes diapers and household necessities alongside groceries, relieving pressure on families with young children. The organization also offers parenting programs and child-care services that strengthen family stability. With a focus on compassion and practical assistance, the Council has been a trusted resource for decades. Partnerships with regional nonprofits help them expand their reach and impact.",,"{""lat"":42.484,""lng"":-71.1528}",https://www.socialconcern.org/wp-content/uploads/2020/03/logo-NEW2020_Horizontal-copy-300x109.png,01/29/2025,active,18,https://woburnchamber.org/members/#!biz/id/535e7cb193f754456d8f8c48,
14,Riverside Early Head Start (Riverside Community Care) ,"Riverside Early Head Start provides comprehensive early childhood and family support services to infants, toddlers, and expectant parents. Their programs focus on strengthening child development, promoting school readiness, and supporting families with social, emotional, and economic needs. Through home-based visits and center-based care, Riverside offers individualized developmental support and access to health and nutrition resources. Families can also receive diapers and other essentials as part of their holistic services. The organization emphasizes equity, family empowerment, and early intervention to ensure every child has the foundation they need to thrive.",,,,,waitlisted,,https://www.riversidecc.org/wp-content/uploads/2024/04/RCC-EarlyHeadStart24-1.pdf.pdf,
15,United South End Settlement,"United South End Settlements is a long-standing Boston nonprofit dedicated to supporting children, families, and communities through education, workforce development, and social-service programs. USES focuses especially on breaking the cycle of poverty by giving families access to childcare, youth enrichment programs, and economic-mobility services. Many families served face significant financial strain, and USES helps meet basic needs by distributing essentials such as diapers. Their family-centered model promotes stability, growth, and long-term opportunity. With deep community roots, USES plays a key role in strengthening the social fabric of the South End and surrounding neighborhoods.",,,,,waitlisted,,https://www.uses.org/?gad_source=1&gad_campaignid=21235454827&gbraid=0AAAAADdSxcHU-KriAgLTkU2x24cuHG7B6&gclid=Cj0KCQiA8KTNBhD_ARIsAOvp6DJsOVFI2ahc6FMf2w3bJK1tVuIneBUU7Lio9jjjhDYme0kXNgIpY_saAkM9EALw_wcB,
16,Kataluma Refugee Hospitality,"Kataluma Refugee Hospitality provides temporary housing, community support, and relational care for individuals and families seeking asylum or transitioning out of refugee status. Their hospitality homes create a safe, stable living environment where guests can rebuild their lives with dignity. Kataluma partners with volunteers, faith communities, and social-service organizations to offer mentorship, case support, and essential items�including diapers for families with young children. Their model centers on compassion, cultural understanding, and empowerment. By fostering community connections, Kataluma helps refugees establish independence and belonging in the Greater Boston area.",,,,,waitlisted,,https://kataluma.org/,
17,The Gandara Center,"The Gandara Center offers behavioral health, substance-use treatment, and family-support services to culturally diverse communities across Massachusetts. Originally founded to serve the Latino community, the organization now provides multilingual, culturally responsive care to individuals of all backgrounds. Their programs include outpatient counseling, residential treatment, youth services, and family-stabilization support. Families facing financial hardship may also receive basic necessities such as diapers and hygiene items. The G�ndara Center is committed to promoting wellness, recovery, and resilience through accessible and inclusive care.",,,,,waitlisted,,https://www.gandaracenter.org/,
18,BHN Family Resource Center,,,,,,waitlisted,,https://www.bhninc.org/location/82-main-street,
19,AllWays Health Partners,"AllWays Health Partners (formerly Neighborhood Health Plan) is a Massachusetts-based health insurance provider offering affordable, community-focused coverage. In collaboration with healthcare systems and community organizations, AllWays supports families by connecting them to essential services, preventive care, and wellness programs. Their commitment to health equity includes supporting initiatives that address social determinants of health, such as food security and diaper need. By partnering with local nonprofits, AllWays helps broaden access to critical resources for families with young children. The organization emphasizes high-quality care, customer support, and community impact.",,,,,waitlisted,,https://massgeneralbrighamhealthplan.org/,
20,Baycove,,,,,,waitlisted,,https://baycovehumanservices.org/,
21,Conley Elementary School,,,,,,waitlisted,,,
22,Pleasant Street Seventh Day Adventist,,,,,,waitlisted,,https://pleasantstreetma.adventistchurch.org/,
23,Cambridge Health Alliance (CHSA),,,,,,waitlisted,,https://www.challiance.org/,
24,"Waltham Creative Start, Head Start",,,,,,waitlisted,,https://www.headstartprogram.us/program/waltham-creative-start,
25,Healthy Waltham,,,,,,waitlisted,,https://healthywaltham.org/,
26,EDEN,,,,,,waitlisted,,https://edenma.org/,
27,Whittier Street Health Center,,,,,,waitlisted,,https://www.wshc.org/,
28,"BAMSI (Brockton Area Multi-Services, Inc.) ",,,,,,waitlisted,,https://www.bamsi.org/,
29,Boston Children's Hospital,,,,,,waitlisted,,https://www.childrenshospital.org/,
30,Foxboro Public Safety,,,,,,waitlisted,,https://www.foxboroughma.gov/departments/human_resources/public_safety_technology_resources,
31,Charity Guild,,,,,,waitlisted,,https://thecharityguild.org/,
32,Children's Services of Roxbury For Holiday Inn and Norwood Site,,,,,,waitlisted,,https://csrox.org/,
33,Lowell Alliance,,,,,,waitlisted,,https://www.lowellalliance.org/,
34,Saheli Boston,,,,,,waitlisted,,https://saheliboston.org/,
35,Boston Medical Center – Refugee Women's Health Clinic,,,,,,waitlisted,,https://www.bmc.org/departments/obstetrics-and-gynecology/gynecology/refugee-womens-health-clinic,
36,Old Colony YMCA,,,,,,waitlisted,,https://www.oldcolonyymca.org/,
37,Society of St. Vincent de Paul – Archdiocese of Boston,,,,,,waitlisted,,https://www.svdpboston.org/,
38,Zion Early Learning Center,,,,,,waitlisted,,https://www.facebook.com/p/Zion-Early-Learning-Center-100080415815959/,
39,Project R.I.G.H.T Inc.,,,,,,waitlisted,,https://www.projectrightinc.org/home/,
40,LifeScene,,,,,,waitlisted,,https://lifescene.org/,
41,Mary Ann Brett Food Pantry,,,,,,waitlisted,,https://stteresaofcalcuttadorchester.org/food-pantry/,
42,Natick Service Council,,,,,,waitlisted,,https://natickservicecouncil.org/,
43,Boston Children's Hospital- Primary Care,,,,,,waitlisted,,https://www.childrenshospital.org/services/primary-care,
44,FamilyAid,,,,,,waitlisted,,https://familyaidboston.org/,
45,YWCA Cambridge – Transition House Shelter,,,,,,waitlisted,,https://ywcacam.org/,
46,Children’s Services of Roxbury – Holiday Inn / Norwood Family Shelter,,,,,,waitlisted,,https://csrox.org/,
47,RISE ,,,,,,waitlisted,,https://risebhs.com/contact-us,
48,Medford Family Network,,,,,,waitlisted,,https://medfordfamilynetwork.org/,
49,ABCD Boston,,,,,,waitlisted,,https://bostonabcd.org/,
50,YMCA Boston,,,,,,waitlisted,,https://ymcaboston.org/,
51,North Shore Community College ,,,,,,waitlisted,,https://www.northshore.edu/,
52,Heartbeat Pregnancy Help Center,,,,,,waitlisted,,https://pregnancyma.com/,
53,Mamas Unidas,,,,,,waitlisted,,https://www.mamasunidas.org/,
54,Eliot Early Intervention Program (Malden/Medford/Everett),,,,,,waitlisted,,https://www.eliotchs.org/early-intervention/,
55,Tufts Medical Center – General Pediatrics,,,,,,waitlisted,,https://www.tuftsmedicine.org/services-treatments/pediatrics,
56,Keeping Pace with Multiple Miracles,,,,,,waitlisted,,https://keepingpace.org/,
57,Legal Service Center of Harvard Law School,,,,,,waitlisted,,https://legalservicescenter.org/,
58,InnerCity Weightlifting,,,,,,waitlisted,,https://www.innercityweightlifting.org/,
59,Postpartum Support Services – MAPC North Suffolk Public Health Collaborative,,,,,,waitlisted,,https://www.northsuffolkassessment.org/home,
60,Franklin Hill Tenant Association,,,,,,waitlisted,,https://franklin-hill.org/,
61,East Boston Community Soup Kitchen (EBCSK),,,,,,waitlisted,,https://www.ebcsk.org/,
62,Dewitt Center-Madison Park Development Corporation,,,,,,waitlisted,,https://www.madison-park.org/what-we-do/resident-community-services/dewitt-center/,
63,North Reading Food Pantry,,,,,,waitlisted,,https://nrfoodpantry.org/,
